Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
tacrolimus, ,chemical drug, ,1,0.0211,"CD200,DCX,FOSB,NOS2,NRP1,NT5E,SPP1,TNFRSF1B", 
CD40LG, ,cytokine, ,1.4,0.0211,"ALCAM,CD8A,CDKN1A,FOSB,ICOSLG/LOC102723996,IFIT1,IFIT2,NOS2,PLAUR,RASSF2,TNFAIP2", 
MED1,0.141,transcription regulator, ,0.068,0.0214,"CDKN1A,CYP1A1,GHR,LIF,TBX21,THBS1", 
PRKCE,-0.079,kinase, ,0.569,0.0215,"AMIGO2,CAV1,CDKN1A,NOS2", 
ZNF106,0.499,other, , ,0.0216,"ALDH3A1,PMP2,SERPINA3", 
ANGPT1, ,growth factor, , ,0.0216,"ADAMTS4,ALCAM,CDH5", 
TNC,-0.129,other, , ,0.0216,"ADAMTS4,CD8A,CDKN1A", 
TXN,-0.073,enzyme, , ,0.0216,"CDKN1A,CYP1A1,NOS2", 
3-deoxy-2-octulosonic acid(2)-lipid A, ,chemical - endogenous non-mammalian, , ,0.0217,"NOS2,PTGES", 
Fcgr3, ,group, , ,0.0217,"ITGAX,TBX21", 
UCP2,0.139,transporter, , ,0.0217,"EPAS1,NOS2", 
FKBP4,0.019,enzyme, , ,0.0217,"LIF,NOS2", 
DDR1,0.097,kinase, , ,0.0217,"CDKN1A,ELN", 
MAZ,-0.357,transcription regulator, , ,0.0217,"CAV1,CDKN1A", 
ARG1, ,enzyme, , ,0.0217,"CDKN1A,NOS2", 
TNK1,0.667,kinase, , ,0.0217,"IFIT2,NOS2", 
DNAJB6,-0.068,transcription regulator, , ,0.0217,"KRT18,SPP1", 
NCAM1,0.049,other, , ,0.0217,"NLGN1,THBS1", 
NBEAL2,0.142,other, , ,0.0217,"THBS1,VWF", 
HNRNPU,-0.176,transporter, , ,0.0217,"ASCL1,SPP1", 
SMAD6, ,transcription regulator, , ,0.0217,"NOS2,SPP1", 
7-nitroindazole, ,chemical reagent, , ,0.0217,"FOSB,NOS2", 
nimesulide, ,chemical drug, , ,0.0217,"CYP1A1,NOS2", 
rofecoxib, ,chemical drug, , ,0.0217,"NOS2,PTGES", 
isoliquiritigenin, ,chemical - endogenous non-mammalian, , ,0.0217,"CDKN1A,NOS2", 
2-arachidonoylglycerol, ,chemical - endogenous mammalian, , ,0.0217,"CNR1,PPARGC1A", 
methylselenic acid, ,chemical reagent, , ,0.022,"CDH15,CDKN1A,GDF15,GPR37,ITGB4,PTGES,TUBA4A,ZNF165", 
CDKN1B,-0.13,kinase, ,-1.4,0.0223,"CDKN1A,CSDC2,HSPB8,MMP16,RDH5", 
cisplatin, ,chemical drug,Activated,3.418,0.0226,"ABCC3,CAV1,CDKN1A,CLDN4,F11R,FAXDC2,GDF15,GHR,INPP5D,ITGB4,NOS2,PLK2,PPARGC1A,PTGES,SPP1,THBS1,TNFRSF1B,ZNF436", 
CD38, ,enzyme, ,0.954,0.0226,"GADD45G,IFI30,NT5E,PPARGC1A,SEMA4A,SLC16A3", 
Collagen(s), ,complex, , ,0.023,"C5AR1,CREB3L1,THBS1", 
SMAD1,0.009,transcription regulator, , ,0.023,"CDKN1A,PDGFB,SPP1", 
dimethylnitrosamine, ,chemical toxicant, , ,0.023,"CDKN1A,IGF2,NOS2", 
"1,4-bis[2-(3,5-dichloropyridyloxy)]benzene", ,chemical toxicant,Activated,2.186,0.0231,"ABCC3,CCN4,CDKN1A,TNFAIP2,TUBA4A", 
EGLN, ,group, ,-0.128,0.0233,"ASCL1,ERFE,H4C15,IMMP2L,RIPPLY3,SLC16A3", 
phytohemagglutinin, ,chemical drug, ,0.164,0.0233,"CPM,CRABP1,GRIK2,NT5E,PLP1,PTPN3,SHC1,SPP1,TBX21", 
HDAC5,0.196,transcription regulator, ,-0.372,0.0234,"CDKN1A,MEG3,NOS2,PPARGC1A", 
fingolimod, ,chemical drug, ,-0.068,0.0234,"CDKN1A,FOSB,NOS2,TBX21", 
EWSR1-FLI1, ,fusion gene/product, ,0.28,0.0234,"CAV1,F11R,GPR37,THBS1", 
15(S)-HETE, ,chemical - endogenous mammalian, , ,0.0242,"FOSB,NOS2", 
glycine, ,chemical - endogenous mammalian, , ,0.0242,"CDKN1A,NOS2", 
Ctbp, ,group, , ,0.0242,"PERP,PLAUR", 
RNF20,-0.136,enzyme, , ,0.0242,"CDKN1A,HES5", 
PARG,-0.221,enzyme, , ,0.0242,"GDF15,NOS2", 
GRK2,0.243,kinase, , ,0.0242,"C5AR1,HRH2", 
SEL1L,-0.078,other, , ,0.0242,"HES5,OLIG2", 
MDM4,-0.031,transcription regulator, , ,0.0242,"CDKN1A,ITGB4", 
PLA2G4A,-0.093,enzyme, , ,0.0242,"KRT18,NOS2", 
AKR1B1,0.534,enzyme, , ,0.0242,"CDKN1A,NOS2", 
XPO1,0.003,transporter, , ,0.0242,"CDKN1A,NOS2", 
PARP9,0.187,enzyme, , ,0.0242,"IFIT1,IFIT2", 
PDK4,0.833,kinase, , ,0.0242,"NOS2,PPARGC1A", 
CREB3L1,-1.272,transcription regulator, , ,0.0242,"NOS2,SPP1", 
magnolol, ,chemical - endogenous non-mammalian, , ,0.0242,"CDKN1A,NOS2", 
PPP3CA,0.007,phosphatase, , ,0.0243,"CDKN1A,CTSV,KRT18,SPP1", 
PRKAA, ,group, , ,0.0243,"CDKN1A,NOS2,PPARGC1A", 
IFIH1,-0.094,enzyme, , ,0.0243,"IFI44L,IFIT1,OAS1", 
IFNA4, ,cytokine, , ,0.0243,"IFIT1,IFIT2,PLAAT4", 
EIF4E,-0.326,translation regulator,Activated,2,0.0245,"CDKN1A,NOS2,NRP1,PLAUR,REPS2,SVIL", 
Alpha catenin, ,group, ,-1.342,0.0246,"ADAMTS4,CTSV,ELN,IGF2,TNFAIP2", 
Ifn, ,group,Activated,2.19,0.0246,"IFIT1,NOS2,OAS3,PLAAT4,SPP1", 
GLI1,-0.17,transcription regulator, ,0.891,0.0253,"CAV1,CDKN1A,IGF2,PGM2L1,PLXDC1,PTHLH,SPP1", 
sodium chloride, ,chemical - endogenous mammalian, ,1.121,0.0253,"NOS2,PTGES,SPP1,VWF", 
calcitriol, ,chemical drug,Activated,2.047,0.0253,"ABCC3,CDKN1A,CYP1A1,ELN,GADD45G,GHR,IFI44L,ITGAX,NOD2,SDSL,SPP1,TBX21,THBS1,TNFRSF10D", 
ARNT,0.047,transcription regulator, , ,0.0254,"ALDH3A1,CAV1,CYP1A1,EPAS1,TUBA4A", 
lithium chloride, ,chemical drug, ,-0.083,0.0254,"CDKN1A,DCN,DLK1,GDF15,NOS2", 
LRP6,-0.122,transmembrane receptor, , ,0.0257,"CAV1,KRT18,PPARGC1A", 
SPHK1,0.584,kinase, , ,0.0257,"CDKN1A,MAP2K6,PTGES", 
NOTCH2,-0.244,transcription regulator, , ,0.0257,"ASCL1,EPAS1,HES5", 
PRKAG3, ,other, , ,0.0258,"CDH5,GADD45G,IFI30,MAP2K6,PPARGC1A,RASD2", 
PRKCA,0.069,kinase, ,1.288,0.0261,"CAV1,CDKN1A,GDF15,IFIT1,NOS2", 
cobalt chloride, ,chemical reagent, ,0.063,0.0263,"CDKN1A,CYP1A1,EPAS1,PLAUR", 
diethylstilbestrol, ,chemical drug, ,1.546,0.0265,"CD200,CDKN1A,CENPE,DCN,FBLN1,FRZB,LRRK2,OXTR,PDGFB", 
C2CD5,-0.224,other, , ,0.0269,"PPARGC1A,PRDM16", 
Srebp, ,group, , ,0.0269,"CDKN1A,H19", 
TLX3, ,transcription regulator, , ,0.0269,"ASCL1,GALR1", 
ADRB3, ,G-protein coupled receptor, , ,0.0269,"ADRB1,PPARGC1A", 
NOX1, ,enzyme, , ,0.0269,"EPAS1,NOS2", 
MUC4, ,other, , ,0.0269,"CDKN1A,KRT18", 
metyrapone, ,chemical drug, , ,0.0269,"ABCC3,CYP1A1", 
diethylmaleate, ,chemical toxicant, , ,0.0269,"CDKN1A,NOS2", 
acetyl-L-carnitine, ,chemical - endogenous mammalian, , ,0.0269,"CDKN1A,PPARGC1A", 
thioridazine, ,chemical drug, , ,0.0269,"CDKN1A,SERPINA3", 
dichlororibofuranosylbenzimidazole, ,chemical toxicant, , ,0.0269,"CDKN1A,CYP1A1", 
Npm, ,group, , ,0.0269,CDKN1A, 
SB 220025, ,chemical - kinase inhibitor, , ,0.0269,NOS2, 
L-ornithine, ,chemical - endogenous mammalian, , ,0.0269,CDKN1A, 
gentamicin C1, ,chemical drug, , ,0.0269,SPP1, 
arbutin, ,chemical drug, , ,0.0269,CDKN1A, 
KCP,1.275,other, , ,0.0269,PPARGC1A, 
chartreusin, ,chemical reagent, , ,0.0269,CDKN1A, 
"2,2',4,4'-tetrabromodiphenyl ether", ,chemical reagent, , ,0.0269,CYP1A1, 
diosmetin, ,chemical - endogenous non-mammalian, , ,0.0269,CYP1A1, 
DF 203, ,chemical drug, , ,0.0269,CYP1A1, 
Mitochondrial complex 1, ,complex, , ,0.0269,PPARGC1A, 
canthaxanthin, ,chemical - endogenous non-mammalian, , ,0.0269,CYP1A1, 
lysine clonixinate, ,chemical drug, , ,0.0269,NOS2, 
STAT4 dimer, ,complex, , ,0.0269,TBX21, 
sPla2, ,group, , ,0.0269,PTGES, 
USP42,-0.356,peptidase, , ,0.0269,CDKN1A, 
TRIM50, ,other, , ,0.0269,IFIT2, 
NSA2,-0.055,other, , ,0.0269,CDKN1A, 
NTN4, ,other, , ,0.0269,CDH5, 
NIF3L1,0.147,other, , ,0.0269,ASCL1, 
FBXL12,0.128,other, , ,0.0269,CDKN1A, 
ADRM1,0.062,other, , ,0.0269,NOS2, 
ZSCAN1, ,transcription regulator, , ,0.0269,ADAMTS4, 
DDX43, ,enzyme, , ,0.0269,H19, 
SEMA4A,1.199,other, , ,0.0269,TBX21, 
SLC25A33,-0.231,transporter, , ,0.0269,PPARGC1A, 
MAGEA2/MAGEA2B, ,other, , ,0.0269,CDKN1A, 
ZBTB49,0.081,transcription regulator, , ,0.0269,CDKN1A, 
TRIM67,0.031,other, , ,0.0269,IFIT2, 
lauroylcarnitine, ,chemical - endogenous mammalian, , ,0.0269,CLDN4, 
ZNF385B, ,other, , ,0.0269,PERP, 
RNF126,0.2,enzyme, , ,0.0269,CDKN1A, 
WDR13,0.127,other, , ,0.0269,CDKN1A, 
VPS33B,0.258,transporter, , ,0.0269,VWF, 
MIR31HG, ,other, , ,0.0269,CDKN1A, 
Hat, ,complex, , ,0.0269,NOS2, 
Importin alpha, ,group, , ,0.0269,CDKN1A, 
ACER3,-0.052,enzyme, , ,0.0269,CDKN1A, 
neuropeptide Y, ,biologic drug, , ,0.0269,NOS2, 
LOXL1,0.321,enzyme, , ,0.0269,ELN, 
INTERLEUKIN, ,group, , ,0.0269,NOS2, 
dibromoacetic acid, ,chemical toxicant, , ,0.0269,IGF2, 
Til1, ,other, , ,0.0269,SPP1, 
IBSP, ,other, , ,0.0269,THBS1, 
HPGD, ,enzyme, , ,0.0269,CDKN1A, 
TRIM5,0.113,enzyme, , ,0.0269,IFIT2, 
CALU,0.109,other, , ,0.0269,GDF15, 
PLA2G2F, ,enzyme, , ,0.0269,PTGES, 
ACPP, ,phosphatase, , ,0.0269,SHC1, 
mir-622, ,microRNA, , ,0.0269,PLAUR, 
miR-483-5p (miRNAs w/seed AGACGGG), ,mature microRNA, , ,0.0269,ALCAM, 
mir-331, ,microRNA, , ,0.0269,PLAUR, 
ELAC2,-0.133,enzyme, , ,0.0269,CDKN1A, 
MAGEA4, ,other, , ,0.0269,CDKN1A, 
POLDIP3,-0.387,other, , ,0.0269,CDKN1A, 
TSPYL2,0.713,other, , ,0.0269,CDKN1A, 
PEX2,-0.123,other, , ,0.0269,CDKN1A, 
NASP,0.013,other, , ,0.0269,CDKN1A, 
MYO6,-0.033,other, , ,0.0269,HES5, 
CCT5,-0.185,other, , ,0.0269,CDKN1A, 
SIGLEC11, ,other, , ,0.0269,NOS2, 
B4GALNT2, ,enzyme, , ,0.0269,VWF, 
MAML3,0.362,transcription regulator, , ,0.0269,HES5, 
DDX24,0.322,enzyme, , ,0.0269,CDKN1A, 
ING2,0.045,transcription regulator, , ,0.0269,SPP1, 
MARK3,0.007,kinase, , ,0.0269,ACP5, 
TLE6,0.828,other, , ,0.0269,ACP5, 
CUX2, ,transcription regulator, , ,0.0269,DLL1, 
PGAM1,-0.181,phosphatase, , ,0.0269,CDKN1A, 
ING5,-0.212,other, , ,0.0269,CDKN1A, 
KHDRBS2, ,other, , ,0.0269,CDKN1A, 
cycloastragenol, ,chemical reagent, , ,0.0269,CDKN1A, 
GALR2, ,G-protein coupled receptor, , ,0.0269,CDKN1A, 
MED6,0.068,transcription regulator, , ,0.0269,IFIT2, 
PCBP4,-0.019,other, , ,0.0269,CDKN1A, 
cyclic des-acyl ghrelin (6-13), ,biologic drug, , ,0.0269,PPARGC1A, 
TRIP11,-0.048,transcription regulator, , ,0.0269,CYP1A1, 
TFA-12, ,chemical reagent, , ,0.0269,HES5, 
CGGBP1,-0.297,transcription regulator, , ,0.0269,CDKN1A, 
GAP43,0.352,other, , ,0.0269,NOS2, 
DDX20,0.106,transcription regulator, , ,0.0269,IGF2, 
CRTAP,-0.122,other, , ,0.0269,CDKN1A, 
SALL2,-0.005,transcription regulator, , ,0.0269,CDKN1A, 
Cops2, ,transcription regulator, , ,0.0269,CDKN1A, 
AP2B1,-0.083,transporter, , ,0.0269,PTGDS, 
Nedd4, ,enzyme, , ,0.0269,THBS1, 
MAML2,-0.437,transcription regulator, , ,0.0269,HES5, 
Kcnip2, ,other, , ,0.0269,KCNIP1, 
MI-63, ,chemical reagent, , ,0.0269,CDKN1A, 
DUOX2, ,enzyme, , ,0.0269,CDKN1A, 
ZFYVE16,0.117,other, , ,0.0269,CDKN1A, 
securinine, ,chemical reagent, , ,0.0269,CDKN1A, 
PI 3-kinase inhibitor, ,chemical drug, , ,0.0269,NOS2, 
iCRT5, ,chemical reagent, , ,0.0269,CCN4, 
iCRT3, ,chemical reagent, , ,0.0269,CCN4, 
ristocetin, ,chemical toxicant, , ,0.0269,VWF, 
hydroxyl radical, ,chemical toxicant, , ,0.0269,CAV1, 
polyethylene glycol, ,chemical drug, , ,0.0269,CDKN1A, 
"2,2-(2-chlorophenyl-4'-chlorophenyl)-1,1-dichloroethene", ,chemical - endogenous mammalian, , ,0.0269,CYP1A1, 
SC68376, ,chemical - kinase inhibitor, , ,0.0269,NOS2, 
telomestatin, ,chemical - endogenous non-mammalian, , ,0.0269,CDKN1A, 
alpha-endosulfan, ,chemical toxicant, , ,0.0269,CYP1A1, 
primaquine, ,chemical drug, , ,0.0269,CYP1A1, 
methylmalonic acid, ,chemical - endogenous mammalian, , ,0.0269,NOS2, 
kynurenic acid, ,chemical - endogenous mammalian, , ,0.0269,CDKN1A, 
benzylamine, ,chemical - endogenous mammalian, , ,0.0269,NOS2, 
hexaarginine-neomycin B conjugate, ,chemical reagent, , ,0.0269,CD8A, 
cAMP-dependent protein kinase, ,complex, , ,0.0269,PPARGC1A, 
OR141, ,chemical reagent, , ,0.0269,EPAS1, 
1-o-hexadecyl-2-o-methyl-rac-glycerol, ,chemical - kinase inhibitor, , ,0.0269,CDKN1A, 
"dibenzo(a,l)pyrene", ,chemical toxicant, , ,0.0269,CYP1A1, 
"benzo(a)pyrene-7,8-dione", ,chemical toxicant, , ,0.0269,CYP1A1, 
felodipine, ,chemical drug, , ,0.0269,NOS2, 
erbstatin, ,chemical - endogenous non-mammalian, , ,0.0269,NOS2, 
lavendustin A, ,chemical - kinase inhibitor, , ,0.0269,CYP1A1, 
sinapinic acid, ,chemical - endogenous non-mammalian, , ,0.0269,NOS2, 
"theaflavin-3,3'-digallate", ,chemical - endogenous non-mammalian, , ,0.0269,NOS2, 
Cavtratin, ,chemical - kinase inhibitor, , ,0.0269,PDGFB, 
hdm-2 antagonistic peptide, ,chemical reagent, , ,0.0269,CDKN1A, 
2-hydroxyarachidonic acid, ,chemical reagent, , ,0.0269,NOS2, 
all-trans-4-Oxo-retinoic acid, ,chemical - endogenous mammalian, , ,0.0269,ITGAX, 
gamma tocopherol, ,chemical drug, , ,0.0269,NOS2, 
pyrilamine, ,chemical drug, , ,0.0269,NOS2, 
microcystin, ,chemical toxicant, , ,0.0269,NOS2, 
"indolo(3,2-b)carbazole", ,chemical reagent, , ,0.0269,CYP1A1, 
homoorientin, ,chemical - endogenous non-mammalian, , ,0.0269,NOS2, 
vinflunine, ,chemical drug, , ,0.0269,CDKN1A, 
tyrphostin 47, ,chemical - kinase inhibitor, , ,0.0269,NOS2, 
D-erythro-C16-ceramide, ,chemical - endogenous mammalian, , ,0.0269,NOS2, 
poly(ADP-ribose), ,chemical - endogenous mammalian, , ,0.0269,NOS2, 
N(omega)-hydroxyarginine, ,chemical - endogenous mammalian, , ,0.0269,CDKN1A, 
L-canavanine, ,chemical - endogenous non-mammalian, , ,0.0269,HSPB8, 
citrulline, ,chemical - endogenous mammalian, , ,0.0269,NOS2, 
lipooligosaccharide, ,chemical toxicant, , ,0.0269,NOS2, 
flunisolide, ,chemical drug, , ,0.0269,NOS2, 
PARP1,-0.007,enzyme, , ,0.027,"CDKN1A,GDF15,H19,LIF,NOS2", 
GNAQ,-0.351,enzyme, , ,0.027,"CTSV,HSPB8,MMP16,OAS1,PLAUR", 
ID2,-0.717,transcription regulator, ,1.006,0.027,"CDKN1A,DLL1,GADD45G,HES5,ICOSLG/LOC102723996,MAP2K6,PTPN3", 
ADRA1B, ,G-protein coupled receptor, , ,0.0272,"CDKN1A,CTSV,LIF", 
CNTF,-0.099,cytokine, , ,0.0273,"CNR1,LIF,OLIG2,SERPINA3", 
phenobarbital, ,chemical drug, ,1.949,0.0273,"ABCC3,ALDH3A1,CDKN1A,CYP1A1", 
tributyltin, ,chemical reagent, , ,0.0278,"DCN,IFIT2,PPL,SYNPO,THBS1", 
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol, ,chemical - endogenous non-mammalian, ,1,0.0284,"GPAT3,IFIT1,IFIT2,NT5E", 
histamine, ,chemical - endogenous mammalian, , ,0.0284,"CLDN4,GDF15,NOS2,PTGES", 
corticosterone, ,chemical - endogenous mammalian, ,-0.12,0.0286,"CAV1,CDKN1A,H19,NOS2,PPARGC1A", 
2-bromoethylamine, ,chemical reagent, , ,0.0287,"CLDN4,SPP1,TMEM173", 
cytochalasin D, ,chemical toxicant, , ,0.0287,"AMOTL2,MMP16,NOS2", 
BAPTA-AM, ,chemical reagent, , ,0.0287,"CDKN1A,CYP1A1,MMP16", 
TLR7, ,transmembrane receptor, ,1.387,0.0288,"CDKN1A,IFI44L,IFIT1,INPP5D,ITGAX,MYLK3,OAS3", 
RAF1,-0.139,kinase, ,1.664,0.0288,"CDKN1A,ITGB4,LIF,PLAUR,PTHLH,SMAGP,TUBA4A", 
cyclic AMP, ,chemical - endogenous mammalian, ,1.5,0.0291,"ANTXR2,CDKN1A,CRYM,IGF2,NOS2,PPARGC1A,PTHLH,VWF", 
IRF7,0.188,transcription regulator, ,1.774,0.0293,"IFI44L,IFIT1,IFIT2,ITGAX,OAS1,OAS3", 
raloxifene, ,chemical drug, ,1.633,0.0293,"CDKN1A,H2BC21,IFI30,PLK2,SPP1,TUBA4A", 
pioglitazone, ,chemical drug, ,0.199,0.0293,"CAV1,CDKN1A,EPAS1,NOS2,PPARGC1A,TNFRSF1B", 
norepinephrine, ,chemical - endogenous mammalian, ,0.911,0.0293,"ADRB1,GDF15,IRAK2,NOS2,PPARGC1A,PTGES", 
HSF1,0.342,transcription regulator, ,-1.378,0.0295,"BST2,DHRS2,FBLN1,LIF,PLAAT4,PPARGC1A,SHC1", 
IL6R,-0.214,transmembrane receptor, ,0.218,0.0295,"ABCC3,CDKN1A,IGF2,SERPINA3", 
lithium, ,chemical drug, ,-0.343,0.0295,"ADCY2,ADRB1,CDKN1A,SSTR2", 
Ncoa-Nr1i2-Rxra, ,complex, , ,0.0296,"ABCC3,NOS2", 
SAV1,0.148,other, , ,0.0296,"CDKN1A,SPP1", 
MSR1, ,transmembrane receptor, , ,0.0296,"IFIT1,NOS2", 
KLF10,0.536,transcription regulator, , ,0.0296,"CDKN1A,TBX21", 
PPP1R13L,-0.135,transcription regulator, , ,0.0296,"CDKN1A,PERP", 
LY6E,0.335,other, , ,0.0296,"ABCC3,IRAK2", 
PHB,-0.067,transcription regulator, , ,0.0296,"H19,IGF2", 
BID,0.184,other, , ,0.0296,"C5AR1,ITGAX", 
HRG, ,other, , ,0.0296,"ITGAX,SPP1", 
leptomycin B, ,chemical drug, , ,0.0296,"CDKN1A,IFIT2", 
TP63, ,transcription regulator, ,0.73,0.0296,"APOBEC3B,BST2,CDKN1A,DLL1,F11R,HAS3,HES5,ITGB4,NT5E,PERP,PTHLH,THBS1", 
Hedgehog, ,group, , ,0.0302,"IGF2,KCNJ11,SPP1", 
AURK, ,group, , ,0.0302,"CDKN1A,GAL3ST4,VWCE", 
NRL,-0.012,transcription regulator, , ,0.0302,"ABCA4,ADRB1,RDH5", 
ANLN,0.176,other, , ,0.0302,"CDKN1A,GAL3ST4,VWCE", 
NR0B2, ,ligand-dependent nuclear receptor, , ,0.0306,"CDKN1A,NOS2,PPARGC1A,SPP1", 
NKX2-3, ,transcription regulator, ,-0.378,0.0307,"BCYRN1,CDKN1A,GDF15,GHR,MFNG,PARP10,TNFRSF10D", 
KLF11,0.293,transcription regulator, ,-0.577,0.0312,"CAV1,DCN,PDGFB,PPARGC1A,THBS1", 
Immunoglobulin, ,complex, ,0.152,0.0313,"CD8A,CRISPLD2,FOSB,ICOSLG/LOC102723996,IFI30,IFIT2,ITGAX,NOS2,NRP1,NT5E,PPARGC1A,SPP1,TBX21,TNFRSF1B", 
IKBKE,0.258,kinase, ,1.897,0.0317,"IFIT1,IFIT2,NOS2,SLC16A3", 
mir-29, ,microRNA, , ,0.0317,"ELN,SFRP2,TBX21,THBS1", 
IRF5, ,transcription regulator, , ,0.0317,"CDKN1A,IFIT1,IFIT2,OAS1", 
vancomycin, ,biologic drug, ,1.964,0.0317,"CLDN4,ITGB4,SPP1,TMEM173", 
"8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate", ,chemical - kinase inhibitor, , ,0.0318,"ADRB1,CDKN1A,PPARGC1A", 
DGCR8,-0.114,enzyme, , ,0.0318,"CRABP1,OLIG1,PLP1", 
NPY, ,other, , ,0.0318,"ADRB1,NOS2,PPARGC1A", 
mir-182, ,microRNA, , ,0.0318,"GADD45G,GHR,VWF", 
Hmgb1, ,transcription regulator, , ,0.0324,"CDKN1A,NOS2", 
LIN9,0.343,other, , ,0.0324,"CDKN1A,CENPE", 
Collagen type IV, ,complex, , ,0.0324,"PLAUR,THBS1", 
HOXA11, ,transcription regulator, , ,0.0324,"CTSV,SPP1", 
SP100, ,transcription regulator, , ,0.0324,"CDKN1A,HSPB8", 
DLX2,0.673,transcription regulator, , ,0.0324,"ARX,CDKN1A", 
HDAC7,0.192,transcription regulator, , ,0.0324,"ALCAM,CDKN1A", 
ADM2,0.061,other, , ,0.0324,"NOS2,PPARGC1A", 
CBX3,-0.06,transcription regulator, , ,0.0324,"CDKN1A,PPL", 
ADORA3, ,G-protein coupled receptor, , ,0.0324,"NOS2,SPP1", 
ST8SIA1,-0.384,enzyme, , ,0.0324,"C5AR1,CDKN1A", 
PD 169316, ,chemical - kinase inhibitor, , ,0.0324,"CDKN1A,PPARGC1A", 
NCOA3,-0.067,transcription regulator, , ,0.0329,"CDKN1A,CYP1A1,HES5,SLC16A3", 
nocodazole, ,chemical reagent, ,0.391,0.0329,"BCYRN1,CAV1,CDKN1A,MAP2K6", 
MET, ,kinase, , ,0.0331,"CDKN1A,CTSV,PERP,PLK2,SPP1", 
FHL2,0.47,transcription regulator, , ,0.0334,"CDH5,NOS2,SPP1", 
nitroprusside, ,chemical drug, , ,0.0334,"CAV1,NOS2,PPARGC1A", 
carrageenan, ,chemical drug, , ,0.0334,"FOSB,NOS2,PTGES", 
Insulin, ,group, ,0.16,0.0339,"CDKN1A,CYP1A1,EPAS1,FOSB,IFIT2,IGF2,NOS2,PPARGC1A,PTHLH,RDH5,TBX21,THBS1", 
dextran sulfate, ,chemical drug, , ,0.0344,"CENPE,LY96,NOS2,NRP1,PDGFB,SPON2,THBS1,TNFRSF1B", 
E2F3,0.022,transcription regulator, ,-1.224,0.0346,"CDKN1A,H1-2,H2AW,IGF2,THBS1,TNFAIP2", 
AGN194204, ,chemical drug, ,0.956,0.0348,"CDKN1A,DCN,H1-2,PPARGC1A,PPL,SPP1,SYNPO", 
MEF2C,0.467,transcription regulator, , ,0.0349,"CDKN1A,FOSB,FRZB,PPARGC1A,SFRP2", 
NFKB1,-0.301,transcription regulator, ,0.958,0.035,"CDKN1A,CHI3L1,FOSB,HES5,ICOSLG/LOC102723996,NOD2,NOS2,TBX21", 
bromodeoxyuridine, ,chemical drug, , ,0.0351,"IFIT1,IFIT2,OAS1", 
Rock, ,group, , ,0.0351,"CDKN1A,SPP1,THBS1", 
MTORC1, ,complex, , ,0.0351,"NOS2,PLP1,PPARGC1A", 
CUL3,-0.213,enzyme, , ,0.0351,"COL9A1,GRIK2,KRT18", 
GHR,-1.045,transmembrane receptor, , ,0.0351,"CDKN1A,GHR,SPP1", 
PTPN1,0.182,phosphatase, , ,0.0351,"NOS2,PPARGC1A,PRDM16", 
chromium, ,chemical drug, , ,0.0351,"ALDH3A1,CYP1A1,TNFAIP2", 
6-hydroxydopamine, ,chemical toxicant, , ,0.0352,"CNR1,FOSB,GADD45G,NOS2", 
Ncoa-Nr1i3-Rxra, ,complex, , ,0.0353,"ABCC3,NOS2", 
ETS, ,group, , ,0.0353,"CHI3L1,VWF", 
ORMDL3,0.098,other, , ,0.0353,"OAS1,OAS3", 
WDR5,-0.061,transcription regulator, , ,0.0353,"SFRP2,SPP1", 
EIF4G2,-0.308,translation regulator, , ,0.0353,"CDKN1A,IGF2", 
MAPK13,-0.005,kinase, , ,0.0353,"CDKN1A,PPARGC1A", 
TRPC1,0.056,ion channel, , ,0.0353,"CDH5,CDKN1A", 
MAPK12,0.25,kinase, , ,0.0353,"PPARGC1A,PTPN3", 
NFIX,0.231,transcription regulator, , ,0.0353,"CHI3L1,SERPINA3", 
GADD45A,-0.107,other, , ,0.0353,"CDKN1A,FOSB", 
ADIPOR1,0.038,transmembrane receptor, , ,0.0353,"NOS2,PPARGC1A", 
TERF2IP,0.099,other, , ,0.0353,"H19,IGF2", 
PTPN3,1.731,phosphatase, , ,0.0353,"CDKN1A,PDGFB", 
Gm21596/Hmgb1, ,transcription regulator, , ,0.0353,"H19,NOS2", 
RAPGEF3,0.273,other, , ,0.0353,"SPP1,THBS1", 
LILRB1, ,transmembrane receptor, , ,0.0353,"CAV1,TENT5C", 
apicidin, ,chemical - endogenous non-mammalian, , ,0.0353,"CDKN1A,PTGES", 
mezerein, ,chemical - endogenous non-mammalian, , ,0.0353,"CDKN1A,IFIT1", 
beta-glycerophosphoric acid, ,chemical - endogenous mammalian, , ,0.0353,"CDKN1A,SPP1", 
THRB,-0.306,ligand-dependent nuclear receptor, ,-0.577,0.0356,"CCN4,DCN,FRZB,H1-2,H2AC6,PTGDS,SFRP2,SPP1", 
CST5, ,other, ,-0.707,0.0356,"ARHGAP29,ATP8B1,CAV1,GALNT5,NRP1,NT5E,PPL,RBM47", 
RARB, ,ligand-dependent nuclear receptor, ,1.009,0.0359,"ASCL1,CDH5,CDKN1A,IFIT1,SPP1", 
